title;genre;description;director;duration;rating;image;trailerURL;streamingLink;streamingPrice
Avatar: Istota wody;Akcja, Przygodowy;Akcja filmu Avatar: Istota wody rozgrywa się ponad dziesięć lat po wydarzeniach z pierwszej części. To opowieść o rodzinie Jake’a i Neytiri oraz ich staraniach, by zapewnić bezpieczeństwo sobie i swoim dzieciom, mimo tragedii, których wspólnie doświadczają i bitew, które muszą stoczyć, aby przeżyć.;James Cameron;3g. 12m.;3.7;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2Favatar_istota_wody.jpg?alt=media&token=f9c45aa0-e0dd-4a27-8e81-3c0d3e1b4b33;https://www.youtube.com/watch?v=Kon7tUHWxxo;https://www.youtube.com/watch?v=Kon7tUHWxxo;11
Casino Royale;Akcja, Kryminał;"Le Chiffre, agent KGB i nałogowy hazardzista stracił całą swoją fortunę na wyposażenie mrocznej organizacji o nazwie SMERSH (skrót od ""Śmierć Szpiegom""). Le Chiffre zamierza odzyskać pieniądze. Jego plany pokrzyżować musi agent James Bond.";Martin Campbell;2g. 24m.;3.8;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FCasinoRoyale.jpg?alt=media&token=dd648993-bd45-4179-87e8-f6cb1e3f89be;https://www.youtube.com/watch?v=9HwC3Yh2ecE;https://www.youtube.com/watch?v=9HwC3Yh2ecE;35
007 Quantum of Solace;Akcja, Przygodowy;Zdradzony przez Vesper, kobietę którą kochał, 007 (Daniel Craig) walczy z pragnieniem osobistego potraktowania swojego najnowszego zadania. Bond, zdeterminowany by odkryć prawdę, razem z M (Judi Dench) przesłuchuje niejakiego Pana White'a (Jesper Christensen), który ujawnia, że organizacja która zaszantażowała Vesper jest znacznie bardziej złożona i niebezpieczna niż się wydawało.;Marc Forster;1g. 46m.;3.4;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2F007_Quantum_of_Solace.jpg?alt=media&token=e5dec1a0-dcc3-43e4-b279-2adbcc7b842b;https://www.youtube.com/watch?v=BBqYaFEWBxI;https://www.youtube.com/watch?v=BBqYaFEWBxI;13
Skyfall;Akcja, Przygodowy;Szefowa MI6 musi odejść, kiedy zadanie nie zostało wykonane. Agent 007 (Daniel Craig) zwraca się w stronę mrocznej przeszłości, by ocalić siebie i Brytanię.;Sam Mendes;2g. 23m.;3.6;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FSkyfall.jpg?alt=media&token=22479431-d8e5-4130-b1f8-08ff680c6517;https://www.youtube.com/watch?v=93LMRz5wTC8;https://www.youtube.com/watch?v=93LMRz5wTC8;35
Spectre;Akcja, Thriller;Sekretna wiadomość sprawia, że brytyjski agent James Bond dowiaduje się o istnieniu złowrogiej organizacji. Ponieważ M zmuszony jest toczyć polityczną bitwę, w której stawką jest przyszłość tajnych służb, Bond w walce z potężną organizacją może liczyć głównie tylko na siebie.;Sam Mendes;2g. 28m.;3.2;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FSpectre.jpg?alt=media&token=f1303b83-5682-4141-a383-92b46b172a6c;https://www.youtube.com/watch?v=TXgHTbactm0;https://www.youtube.com/watch?v=TXgHTbactm0;39
Nie czas umierać;Akcja, Przygodowy;ames Bond (Daniel Craig) opuszcza czynną służbę i cieszy się spokojnym życiem na Jamajce. Tymczasem jednak jego stary przyjaciel Felix Leiter (Jeffrey Wright) z CIA zwraca się do niego o pomoc. Misja uratowania porwanego naukowca okazuje się o wiele bardziej zdradliwa, niż mogłoby się wydawać i naprowadza agenta 007 na ślad tajemniczego złoczyńcy, dysponującego nową, niezwykle niebezpieczną technologią.;Cary Joji Fukunaga;2g. 43m.;3.5;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FNie_czas_umiera%C4%87.jpg?alt=media&token=fa2e86e2-162f-4583-8095-1617deb37c50;https://www.youtube.com/watch?v=npKjBQ7CEJQ;https://www.youtube.com/watch?v=npKjBQ7CEJQ;21
Kevin sam w domu;Familijny, Komedia;Dzień przed wyjazdem rodziny McCallister'ów na święta, w wyniku nieporozumienia, 8-letni chłopiec - Kevin, za karę idzie spać na strych. Jednak przed pójściem spać stwierdza, że nie chce więcej widzieć swojej rodziny. Następnego dnia okazuje się, że jego życzenie się spełniło, gdyż jego rodzina zapomniała zabrać go ze sobą. Od tej pory Kevin musi stawić czoła zarówno obowiązkom życia codziennego jak i włamywaczom, którzy chcą obrabować jego dom.;Chris Columbus;1g. 43m;3.7;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FKevin_sam_w_domu.jpg?alt=media&token=768ee047-620b-4ad8-af99-8b6f4881b056;https://www.youtube.com/watch?v=PSUslV2yp_E;https://www.youtube.com/watch?v=PSUslV2yp_E;33
Kevin sam w Nowym Jorku;Komedia, Familijny;Kevin McCalister (Macauley Culkin) znowu daje się we znaki - tym razem mieszkańcom Nowego Jorku. z odpowiednią ilością gotówki i kart kredytowych, zamienia metropolię w swój prywatny plac zabaw. Najwięcej utrapienia mają z nim znani z poprzedniego filmu dwaj gamoniowaci włamywacze (Joe Pesci i Daniel Stern), którzy właśnie w Nowym Jorku planują swój wielki skok.;Chris Columbus;2g.;3.5;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FKevin_sam_w_Nowym_Jorku.jpg?alt=media&token=f509ef98-cf51-4dd5-a547-1e2b5432a65f;https://www.youtube.com/watch?v=5h9VDUNtoto;https://www.youtube.com/watch?v=5h9VDUNtoto;19
Shrek;Komedia, Familijny;Shrek jest zielonym stworzonkiem, które nie lubi hałasu, zamieszania i niespodziewanych gości. Jakie było jego zdziwienie, kiedy do jego zacisza zawitało mnóstwo postaci z sąsiedniego królestwa bajki. Zostali wygnani ze swojego królestwa przez złego Lorda Farquaada i nie będą mogli powrócić do domów, dopóki ktoś nie uratuje narzeczonej Lorda - księżniczki Fiony z łap straszliwego smoka. Shrek wyrusza w niebezpieczną drogę na ratunek Fionie.;Andrew Adamson, Vicky Jenson;1g. 32m.;4.15;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FShrek.jpg?alt=media&token=6b247b28-3f16-4cc4-bb19-adb257cb96d8;https://www.youtube.com/watch?v=C_yokMNVzv8;https://www.youtube.com/watch?v=C_yokMNVzv8;17
Shrek 2;Animowany, Komedia;Gdy Shrek i Fiona powracają z miesiąca miodowego, otrzymują zaproszenie na uroczysty obiad do rodziców księżniczki. Jest tylko jeden problem - rodzice nie wiedzą, że ich córka i zięć są ogrami. Wkrótce też okazuje się, że król ma zupełnie inną wizję przyszłości swojej córki. Z pomocą Matki Chrzestnej i przystojnego Księcia z Bajki oraz osławionego pogromcy ogrów Kota w Butach postanawia więc wprowadzić w życie swoją wersję zakończenia i żyli długo i szczęśliwie.;Andrew Adamson, Kelly Asbury;1g. 32m.;3.8;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FShrek_2.jpg?alt=media&token=eec4c83b-3135-4550-801a-d39c6db76ad4;https://www.youtube.com/watch?v=ybIT_Malius;https://www.youtube.com/watch?v=ybIT_Malius;39
Shrek Trzeci;Komedia, Familijny;Oto trzecia najwspanialsza bajka, której nigdy nie opowiedziano! Shrek Powraca w iście królewskim rozmiarze! OGRomna przygoda trwa! Kiedy królestwo Zasiedmiogórogrodu zostaje bez króla a zło powraca, Shrek i jego wierna kompania, wiecznie gadający Osioł i gubiący kłaczki Kot w butach wyruszają by odnaleźć rodowitego władcę legendarnej baśniowej krainy.;Chris Miller;1g. 32m.;3.3;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FShrek_trzeci.jpg?alt=media&token=43f8bf54-242c-4579-acb8-19484faa793d;https://www.youtube.com/watch?v=qOHvDjiq6rU;https://www.youtube.com/watch?v=qOHvDjiq6rU;20
Shrek Forever;Animowany, Przygodowy;Shrek Forever to już ostatnia część przygód zielonego ogra (dubbing Mike Myers). Shrek tęskni za dawnym życiem ogra. Obecnie ma wszystko, kochającą Fionę, pałac i wspaniałych przyjaciół. Podpisuje pakt z podstępnym Rumplesnickim. Przenosi się do krainy w której jego życie toczy się alternatywnie. Nigdy nie ratuje księżniczki ani nie poznaje osła i kota w butach. Czy Shrekowi ostatecznie uda się zmienić ten straszliwy los?;Mike Mitchell;1g. 33m.;3.4;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FShrek%20Forever.jpg?alt=media&token=889e87c1-1ba4-4ce6-8435-952c5f7d7ff3;https://www.youtube.com/watch?v=RPQ0ykCQrb0;https://www.youtube.com/watch?v=RPQ0ykCQrb0;15
Dzień świra;Komedia, Dramat;Adaś Miarczyński – lat 44 nie ma szczęścia w życiu. Strudzony, boi się nawet otworzyć oczy po przebudzeniu. Denerwują go sąsiedzi, psy załatwiające swoje potrzeby gdzie popadnie, odgłosy robót ulicznych. Spotkania z matką, synem a tym bardziej z byłą żona przysparzają mu tylko dodatkowych stresów. Jest sam. W codziennym życiu wiernie towarzyszą mu tylko komiczne rytuały i przyzwyczajenia. Dręczony obsesjami stoi na skraju załamania nerwowego. Postanawia przełamać schemat dnia codziennego – wyrusza nad morze. Pojawia się nadzieja na zregenerowanie strapionego umysłu;Marek Koterski;1g. 30m.;4.05;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2Fdzien_swira.jpg?alt=media&token=abca97f9-7c1e-45c3-9835-f6fe139435d4;https://www.youtube.com/watch?v=mAgCcQNNAms;https://www.youtube.com/watch?v=mAgCcQNNAms;29
Władca Pierścieni: Drużyna Pierścienia;Fantasy, Przygodowy;Ekranizacja pierwszej części trylogii Tolkiena, „Drużyna pierścienia”, zapoznaje widzów z czarodziejskim światem Śródziemia i jego mieszkańcami – ludźmi, hobbitami, elfami, krasnoludami, czarodziejami, trollami i orkami. W tej części trylogii młody i nieśmiały hobbit, Frodo Baggins, odziedzicza pierścień – Jedyny Pierścień, narzędzie władzy absolutnej, które pozwoliłoby Sauronowi, mrocznemu Władcy Mordoru, rządzić Śródziemiem i zniewolić zamieszkujące je ludy. Frodo, wraz z lojalną kompanią hobbitów, ludzi, czarodziejem, krasnoludem i elfem, musi zabrać Pierścień do Szczelin Zagłady, gdzie został kiedyś wykuty, i zniszczyć go raz na zawsze. Taka podróż oznacza zapuszczenie się głęboko do krainy Czarnego Władcy, gdzie gromadzi on armię orków. Drużyna musi walczyć nie tylko ze złem czającym się wokół, ale i z wewnętrznymi waśniami oraz niszczącym wpływem samego Pierścienia. Przyszłość świata i przeznaczenie drużyny są ze sobą splecione.;Peter Jackson;2g. 58m.;4.2;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FWladca_Pierscieni_Druzyna_Pierscienia.jpg?alt=media&token=c074d58a-22b7-4ca7-b479-4a49a67a5ced;https://www.youtube.com/watch?v=U1P9cl73Bmo;https://www.youtube.com/watch?v=U1P9cl73Bmo;25
Władca Pierścieni: Dwie Wieże;Fantasy, Przygodowy;Drużyna została rozbita, ale wyprawa, która ma na celu zniszczenie Pierścienia Władzy, trwa nadal. Frodo i Sam, aby znaleźć drogę do Mordoru, muszą powierzyć swoje życie Gollumowi. Pozostali członkowie Drużyny, wraz z sojusznikami ze Śródziemia, przygotowują się do bitwy z armią Sarumana. Wojna o Pierścień rozpoczyna się.;Peter Jackson;2g. 59m.;4.4;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FWladca_Pierscieni_dwie_wieze.jpg?alt=media&token=5fc3495e-9eda-4580-ad13-add11ff1ba5c;https://www.youtube.com/watch?v=YuTEVJ3FH3Y;https://www.youtube.com/watch?v=YuTEVJ3FH3Y;34
Władca Pierścieni: Powrót Króla;Fantasy, Przygodowy;Ostateczna bitwa o Śródziemie rozpoczęła się. Frodo i Sam, prowadzeni przez Golluma, kontynuują swą niebezpieczną wyprawę w kierunku Góry Przeznaczenia, w celu zniszczenia Pierścienia Władzy. Aragorn walczy, aby wypełnić przepowiednię i poprowadzić swoich zwolenników przeciw rosnącej sile Władcy Ciemności Saurona, by Powiernik Pierścienia mógł zakończyć swoją misję.;Peter Jackson;3g. 21m.;4.5;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FWladca_Pierscieni_Powrot_Krola.jpg?alt=media&token=301b43de-f638-42fb-911f-d80edaeee1c1;https://www.youtube.com/watch?v=bHSAyGRiUJQ;https://www.youtube.com/watch?v=bHSAyGRiUJQ;37
Hobbit: Niezwykła podróż;Fantasy, Przygodowy;Po śmierci smoka do jego leża ściągają armie krasnoludów, elfów, ludzi i orków by stoczyć ostateczną bitwę.;Peter Jackson;2g. 50m.;3.8;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FHobbit_Niezwykla_podroz.jpg?alt=media&token=8fe6e681-4c51-4273-a8a5-41da1af573aa;https://www.youtube.com/watch?v=a_eM_80RveI;https://www.youtube.com/watch?v=a_eM_80RveI;15
Hobbit: Pustkowie Smauga;Fantasy, Przygodowy;Grupa krasnoludów podąża do leża smoka by odzyskać utracone królestwo.;Peter Jackson;2g. 41m.;3.7;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FHobbit_Pustkowie_Smauga.jpg?alt=media&token=286553a0-c4ef-4e0a-89cc-756b9bd6449b;https://www.youtube.com/watch?v=KSR8IBz61eE;https://www.youtube.com/watch?v=KSR8IBz61eE;11
Hobbit: Bitwa Pięciu Armii;Fantasy, Przygodowy;Za namową czarodzieja niepozorny Hobbit dołącza do drużyny krasnoludów w wyprawie mającej dopełnić prastarą przepowiednię.;Peter Jackson;2g. 24m.;3.7;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FHobbit_Bitwa_Pieciu_Armii.jpg?alt=media&token=87eb2d8c-5ad1-4824-8723-3e64bd03f587;https://www.youtube.com/watch?v=RjPy-nxakG8;https://www.youtube.com/watch?v=RjPy-nxakG8;25
Epoka lodowcowa;Animowany, Komedia;"Przyłączcie się do Sida, gadatliwego, zabawnego leniwca; Manny'ego, olbrzymiego mamuta obdarzonego ironicznym poczuciem humoru; i Diego, dwulicowego tygrysa szablozębego. Ta niedobrana trójka bohaterów wyrusza z ważną i niebezpieczną misją w czasie, gdy świat staje w obliczu nadchodzącej Epoki Lodowcowej";Chris Wedge;1g. 21m.;3.95;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FEpoka_lodowcowa.jpg?alt=media&token=8271defb-5b1e-42f1-a107-93148902ff94;https://www.youtube.com/watch?v=8mmbQCT3EIc;https://www.youtube.com/watch?v=8mmbQCT3EIc;22
Epoka lodowcowa 2: Odwilż;Komedia, Przygodowy;Wszystkie zwierzęta są ponownie zagrożone. Czy sympatyczni bohaterowie znani z pierwszej części podołają wyzwaniom? Czy tylko mamuty będą skazane na wymarcie? A może jednak nie. W walce o przetrwanie do bohaterów dołączy mamucica Ela i jej dwaj „bracia” – oposy. Może jednak nie wszystko stracone?;Carlos Saldanha;1g. 26m.;3.6;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FEpoka_lodowcowa_2.jpg?alt=media&token=21979dd6-d20e-42a8-ad8c-719a4996c240;https://www.youtube.com/watch?v=K6fM2VYMxt4;https://www.youtube.com/watch?v=K6fM2VYMxt4;23
Epoka lodowcowa 3: Era dinozaurów;Animowany, Komedia;Kontynuacja jednego z największych przebojów kina animowanego ostatnich lat, w której poznamy dalsze przygody leniwca Sida, mamuta Manny'ego, tygrysa szablozębego o imieniu Diego i Scrata - wiewiórki, która przyczyniła się do nadejścia epoki lodowcowej.;Carlos Saldanha;1g. 34m.;3.45;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FEpoka_lodowcowa_3.jpg?alt=media&token=ebc5c463-ee4c-4fc1-a62e-856913a3c2b4;https://www.youtube.com/watch?v=vdDjMqCyf-A;https://www.youtube.com/watch?v=vdDjMqCyf-A;32
Epoka lodowcowa 4: Wędrówka kontynentów;Animowany, Komedia;Bohaterowie poprzednich części filmu Epoka lodowcowa powracają w cyfrowej wersji 3D, by stawić czoła kolejnym wyzwaniom, w tym wędrówce kontynentów, która może zagrozić przyszłości ich świata.;Carlos Saldanha;1g. 28m.;3.3;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FEpoka_lodowcowa_4.jpg?alt=media&token=7445ce0d-dd0b-4f7e-9997-5615c1a1f82b;https://www.youtube.com/watch?v=l1gQfQ3iQ2g;https://www.youtube.com/watch?v=l1gQfQ3iQ2g;29
Madagaskar;Animowany, Przygodowy;"Alex, Melman, Gloria i Marty są mieszkańcami nowojorskiego Zoo. Nigdy nie zaznały życia na wolności. Pewnego dnia zebra Marty, postanawia uciec z Zoo i rozpocząć nowe życie na wolności. Aby uchronić przyjaciela przed wpadnięciem w tarapaty, lew Alex, hipopotamica Gloria i żyrafa Melman, postanawiają go odszukać i sprowadzić do Zoo. Przechadzające się po ulicach Nowego Jorku zwierzęta szubko jednak zostają złapane, załadowane na statek i wysłane do Afryki. Przez przypadek cała czwórka ląduje na Madagaskarze. Nowojorczycy muszą nauczyć się teraz życia w ""dziczy"".";Tom McGrath, Eric Darnell;1g. 26m.;3.8;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FMadagaskar.jpg?alt=media&token=d9728a0d-a696-4954-bb0f-07418ea14508;https://www.youtube.com/watch?v=orAqhC-Hp_o;https://www.youtube.com/watch?v=orAqhC-Hp_o;23
Madagaskar 2;Animowany, Familijny;Druga część popularnego filmu animowanego. Tym razem grupka przezabawnych bohaterów próbuje wrócić do domu. W trakcie podróży dochodzi jednak do awarii, po której zwierzęta lądują w samym sercu Afryki. Początkowo nowe miejsce okazuje się być istnym rajem, lecz z czasem pojawiają się pierwsze problemy;Eric Darnell, Tom McGrath;1g. 29m.;3.6;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FMadagaskar2.jpg?alt=media&token=8f4365eb-fb50-4bd0-ba26-cbf0be2f29a2;https://www.youtube.com/watch?v=4_Ho_DUy6tQ;https://www.youtube.com/watch?v=4_Ho_DUy6tQ;18
Madagaskar 3;Animowany, Komedia;Tym razem nasi bohaterowie: Alex, Marty, Gloria i Melman wciąż podejmują próby powrotu do wytęsknionego, rodzinnego Nowego Jorku. Droga do domu prowadzi przez Europę, gdzie zwierzęta znajdują idealną przykrywkę: kontynuują swoją podróż razem z cyrkiem.;Tom McGrath, Conrad Vernon;1g. 33m.;3.2;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FMadagaskar3.jpg?alt=media&token=91629311-5df7-432d-b05b-ab1cc3e4e425;https://www.youtube.com/watch?v=cf_DxzA6j2o;https://www.youtube.com/watch?v=cf_DxzA6j2o;18
Harry Potter i Kamień Filozoficzny;Familijny, Fantasy;Wspaniała adaptacja bestsellera J.K.Rowling. Opowieść o magii, przyjaźni i przygodzie. Harry Potter dowiaduje się, w dniu swoich 11. urodzin, że jest osieroconym dzieckiem dwojga potężnych czarodziejów i sam posiada magiczne zdolności. W Szkole Magii i Czarodziejstwa w Hogwarcie przeżywa największą przygodę swojego życia. Uczy się latania na miotle i różnych pożytecznych zaklęć. Przeżywa także chwile grozy, rozwiązując zagadkę tajemniczego kamienia filozoficznego i tocząc walkę z potężnym i złym czarodziejem – Lordem Voldermortem.;Chris Columbus;2g. 32m.;3.55;https://firebasestorage.googleapis.com/v0/b/flutterkino.appspot.com/o/MoviePosters%2FHarry_Potter_i_Kamien_Filozoficzny.jpg?alt=media&token=be29251f-65e0-4333-bb98-87cca2ec0dab;https://www.youtube.com/watch?v=bpe6WB9sJuU;https://www.youtube.com/watch?v=bpe6WB9sJuU;13
